file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
matching38.dat,13087325248386362366,19,19,0.000278278,1,0.000255151
matching46.dat,15609313829199504619,23,23,0.000264416,1,0.000245123
matching24.dat,9441329629326727694,12,12,0.000130156,1,0.000109334
matching40.dat,8288313402746563965,20,20,0.000314796,1,0.000288131
matching44.dat,8546591620726744196,22,22,0.000369061,1,0.000340282
p9_512000.dat,15273583463450246576,5,5,7502.083071095,29121,7456.219077599
matching32.dat,7157987131784364638,16,16,0.000200547,1,0.000176863
dualmatching40.dat,16147384517013707374,2,2,594.507977651,1,592.79513434
matching28.dat,4041461339489080294,14,14,0.000159003,1,0.000137117
bms2_50.dat,3084959846277382177,1,1,4.56988009,1,4.569346235
p95_512000.dat,10662179028306961800,4,4,944.032226247,2075,936.560266907
matching34.dat,7412914018148055117,17,17,0.000228573,1,0.000193742
p98_512000.dat,15743175820741442577,3,3,57.431521198,91,56.639618346
matching30.dat,13383849640654441774,15,15,0.000172816,1,0.000151227
matching42.dat,401399525859754694,21,21,0.00033716,1,0.000310828
matching20.dat,3233704722616108457,10,10,0.000101771,1,0.00008199
p99_512000.dat,9696294001431530532,3,3,23.356777721,93,22.923672749
matching36.dat,18369881354033769930,18,18,0.000263456,1,0.000232876
