file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_3165_size_3_cutoff_10.0.cm.dat,13831464393243301891,1,1,0.000034237,1,0.000012909
cost_matrix_component_nr_3272_size_3_cutoff_10.0.cm.dat,17164610424709150315,1,1,0.000012433,1,4.752e-6
cost_matrix_component_nr_2786_size_4_cutoff_10.0.cm.dat,15378603385866650201,1,1,0.000045668,1,0.000016898
cost_matrix_component_nr_3763_size_5_cutoff_10.0.cm.dat,890545724852413393,1,1,0.000045003,1,0.000016281
cost_matrix_component_nr_3571_size_5_cutoff_10.0.cm.dat,16363727484685425446,1,1,0.000049608,1,0.000014955
cost_matrix_component_nr_3774_size_3_cutoff_10.0.cm.dat,17516172312350861513,1,1,0.000034417,1,9.731e-6
cost_matrix_component_nr_3305_size_3_cutoff_10.0.cm.dat,14518646787780387974,1,1,0.000042272,1,0.000011969
cost_matrix_component_nr_1305_size_25_cutoff_10.0.cm.dat,16660972220015980321,1,1,0.000358405,1,0.000318578
cost_matrix_component_nr_3358_size_9_cutoff_10.0.cm.dat,13321998182242822093,1,1,0.000078035,1,0.000059395
cost_matrix_component_nr_2026_size_18_cutoff_10.0.cm.dat,5496267287101061148,3,3,0.000663873,3,0.000525067
cost_matrix_component_nr_1303_size_13_cutoff_10.0.cm.dat,5210723018117253191,2,2,0.003050762,1,0.000249952
cost_matrix_component_nr_2402_size_4_cutoff_10.0.cm.dat,6936014061297172221,1,1,0.000039335,1,0.000012576
cost_matrix_component_nr_3889_size_3_cutoff_10.0.cm.dat,11921889943519451224,1,1,0.000047753,1,0.00001176
cost_matrix_component_nr_1652_size_10_cutoff_10.0.cm.dat,10516944401199732423,2,2,0.002259982,1,0.000147089
cost_matrix_component_nr_563_size_12_cutoff_10.0.cm.dat,6519243135480630359,2,2,0.001936466,1,0.000145672
cost_matrix_component_nr_2927_size_3_cutoff_10.0.cm.dat,7034855140940033877,1,1,0.000031078,1,9.606e-6
cost_matrix_component_nr_1370_size_6_cutoff_10.0.cm.dat,18398238543281485133,1,1,0.000051161,1,0.000022072
cost_matrix_component_nr_373_size_35_cutoff_10.0.cm.dat,5717326814562206684,11,11,0.022974523,21,0.018360571
cost_matrix_component_nr_787_size_17_cutoff_10.0.cm.dat,14987076661780183363,1,1,0.001905934,1,0.000167796
cost_matrix_component_nr_2589_size_4_cutoff_10.0.cm.dat,16389804571623823046,1,1,0.000053105,1,0.000024183
cost_matrix_component_nr_1696_size_6_cutoff_10.0.cm.dat,5508327732395275047,1,1,0.000034411,1,0.000015283
cost_matrix_component_nr_2013_size_5_cutoff_10.0.cm.dat,7759673072369851742,1,1,0.00004118,1,0.000017859
cost_matrix_component_nr_2990_size_6_cutoff_10.0.cm.dat,11101006274824738299,1,1,0.000053323,1,0.000020436
cost_matrix_component_nr_2917_size_3_cutoff_10.0.cm.dat,6899294617465829229,1,1,0.03159274,1,9.872e-6
cost_matrix_component_nr_3660_size_3_cutoff_10.0.cm.dat,16895149345790536844,1,1,0.031600046,1,0.000012514
cost_matrix_component_nr_732_size_9_cutoff_10.0.cm.dat,6489198315189118689,2,2,0.031720698,1,0.000132577
cost_matrix_component_nr_2229_size_5_cutoff_10.0.cm.dat,2045764837710503459,1,1,0.000066028,1,0.000022228
cost_matrix_component_nr_2451_size_3_cutoff_10.0.cm.dat,6142872315296621343,1,1,0.000028244,1,6.222e-6
cost_matrix_component_nr_3233_size_14_cutoff_10.0.cm.dat,17024913123461913664,2,2,0.022442951,1,0.000203411
cost_matrix_component_nr_3736_size_4_cutoff_10.0.cm.dat,14785770844339662605,1,1,0.000036034,1,0.000012563
cost_matrix_component_nr_3656_size_5_cutoff_10.0.cm.dat,6100607567151369053,1,1,0.000045553,1,0.000015624
cost_matrix_component_nr_3029_size_3_cutoff_10.0.cm.dat,6512183224893665499,1,1,0.000015915,1,5.479e-6
cost_matrix_component_nr_1964_size_12_cutoff_10.0.cm.dat,5092105400845843661,3,3,0.000180618,3,0.000143545
cost_matrix_component_nr_3016_size_3_cutoff_10.0.cm.dat,7689270765464214000,1,1,0.000036542,1,0.000012283
cost_matrix_component_nr_3433_size_9_cutoff_10.0.cm.dat,14965735827934355327,3,3,0.000088179,1,0.000053915
cost_matrix_component_nr_3176_size_4_cutoff_10.0.cm.dat,8347833441648618282,1,1,0.000044675,1,0.000013337
cost_matrix_component_nr_3436_size_6_cutoff_10.0.cm.dat,2998960847851973203,2,2,0.000096289,1,0.00005161
cost_matrix_component_nr_3108_size_5_cutoff_10.0.cm.dat,9124021340513168489,1,1,0.000031151,1,0.000014856
cost_matrix_component_nr_1829_size_7_cutoff_10.0.cm.dat,17630719090204645394,2,2,0.000094856,1,0.000068017
cost_matrix_component_nr_3291_size_5_cutoff_10.0.cm.dat,13198809487106025476,1,1,0.000045349,1,0.000020184
iris_r147_c5_r147_c5_UCCs.hg.dat,11166056050235708676,1,1,0.000026434,1,9.493e-6
cost_matrix_component_nr_2871_size_8_cutoff_10.0.cm.dat,12975546067888532093,3,3,0.000148416,1,0.000120229
cost_matrix_component_nr_849_size_7_cutoff_10.0.cm.dat,6520227828438723779,1,1,0.000085173,1,0.000063004
cost_matrix_component_nr_1636_size_20_cutoff_10.0.cm.dat,1298187527622704935,4,4,0.001884187,5,0.001474504
cost_matrix_component_nr_353_size_4_cutoff_10.0.cm.dat,14378631542686057910,1,1,0.000074683,1,0.000013836
cost_matrix_component_nr_875_size_45_cutoff_10.0.cm.dat,9558992655451136234,1,1,0.023265137,1,0.003864693
cost_matrix_component_nr_908_size_32_cutoff_10.0.cm.dat,3037032966171408226,12,12,0.05492938,61,0.025969319
cost_matrix_component_nr_920_size_41_cutoff_10.0.cm.dat,16553509310891879856,12,12,0.088547988,59,0.039613327
cost_matrix_component_nr_825_size_9_cutoff_10.0.cm.dat,18223614500326293194,2,2,0.00011275,1,0.000069109
cost_matrix_component_nr_576_size_49_cutoff_10.0.cm.dat,7508414069905485482,9,9,0.080992873,21,0.032094632
cost_matrix_component_nr_359_size_4_cutoff_10.0.cm.dat,5267307419437510259,1,1,0.000063226,1,0.000016684
cost_matrix_component_nr_1381_size_10_cutoff_10.0.cm.dat,11027817672468474379,1,1,0.011216776,1,0.000036657
cost_matrix_component_nr_261_size_28_cutoff_10.0.cm.dat,9305670041461270377,9,9,0.058639977,23,0.015125973
100k_ncvoter_allc_diff.graph.dat,1605751273160094580,1,1,0.03295667,1,0.004212341
cost_matrix_component_nr_1108_size_64_cutoff_10.0.cm.dat,5626712588033126741,15,15,0.203446304,61,0.142570441
amalgam1_denormalized_r51_c87_r51_c87_UCCs.hg.dat,10675969185013889406,13,13,0.139291529,7,0.051652961
cost_matrix_component_nr_1577_size_56_cutoff_10.0.cm.dat,12177079949901165955,13,13,0.128706705,61,0.097732791
cost_matrix_component_nr_427_size_42_cutoff_10.0.cm.dat,8014962720953477041,2,2,0.005588961,1,0.001257765
cost_matrix_component_nr_746_size_42_cutoff_10.0.cm.dat,6151627376567438720,15,15,0.147788837,69,0.05327871
cost_matrix_component_nr_733_size_4_cutoff_10.0.cm.dat,748832184141570969,1,1,0.013576245,1,0.000012798
cost_matrix_component_nr_572_size_30_cutoff_10.0.cm.dat,11338173402721459668,10,10,0.022320833,21,0.006190157
cost_matrix_component_nr_2918_size_13_cutoff_10.0.cm.dat,7257933312129322455,5,6,0.014469326,7,0.000678642
cost_matrix_component_nr_1600_size_6_cutoff_10.0.cm.dat,8728635714562236686,2,2,0.000063911,1,0.000020293
cost_matrix_component_nr_376_size_49_cutoff_10.0.cm.dat,5567374697761882749,19,19,0.184689907,161,0.092837558
cost_matrix_component_nr_686_size_46_cutoff_10.0.cm.dat,8646093239940772418,10,10,0.11165388,19,0.049556486
cost_matrix_component_nr_1748_size_6_cutoff_10.0.cm.dat,8281615833515858007,1,1,0.000062003,1,0.000024213
cost_matrix_component_nr_2473_size_4_cutoff_10.0.cm.dat,14729390707085460849,1,1,0.000044985,1,0.000013546
cost_matrix_component_nr_1705_size_18_cutoff_10.0.cm.dat,17474864602383197605,3,3,0.018485569,1,0.000511087
cost_matrix_component_nr_1974_size_3_cutoff_10.0.cm.dat,15326510092028769257,1,1,0.00006241,1,0.000013782
cost_matrix_component_nr_3924_size_19_cutoff_10.0.cm.dat,7730445159965215864,2,2,0.013561756,1,0.000212636
cost_matrix_component_nr_3597_size_5_cutoff_10.0.cm.dat,16985102923668376720,1,1,0.000035237,1,0.000011689
cost_matrix_component_nr_680_size_8_cutoff_10.0.cm.dat,8113695327282933065,2,2,0.000066192,1,0.000045193
cost_matrix_component_nr_2123_size_3_cutoff_10.0.cm.dat,15977293173456017150,1,1,0.003413293,1,0.000010098
cost_matrix_component_nr_2781_size_7_cutoff_10.0.cm.dat,7925386819665224005,2,2,0.032200614,1,0.000054824
cost_matrix_component_nr_928_size_49_cutoff_10.0.cm.dat,13862059040316924577,19,19,0.220922811,173,0.156927739
cost_matrix_component_nr_809_size_65_cutoff_10.0.cm.dat,1088694682173517242,1,1,0.032268406,1,0.000157737
cost_matrix_component_nr_300_size_15_cutoff_10.0.cm.dat,9802532729938976996,3,3,0.008344036,3,0.000423129
cost_matrix_component_nr_140_size_7_cutoff_10.0.cm.dat,8721057304692283805,2,2,0.001670721,1,0.000028429
cost_matrix_component_nr_1638_size_4_cutoff_10.0.cm.dat,16460740020961509575,1,1,0.00003905,1,0.000013019
cost_matrix_component_nr_3189_size_11_cutoff_10.0.cm.dat,17236565070588652367,1,1,0.000096439,1,0.000058091
cost_matrix_component_nr_2712_size_10_cutoff_10.0.cm.dat,9717968541534757430,1,1,0.003898921,1,0.000057415
cost_matrix_component_nr_264_size_11_cutoff_10.0.cm.dat,4742983962634532294,1,1,0.020254913,1,0.000070676
cost_matrix_component_nr_1205_size_22_cutoff_10.0.cm.dat,11310846829672946162,2,2,0.022390867,1,0.000475686
cost_matrix_component_nr_3802_size_3_cutoff_10.0.cm.dat,6817206531576405751,1,1,0.003877702,1,0.000011008
cost_matrix_component_nr_2666_size_20_cutoff_10.0.cm.dat,13798185220537261206,7,7,0.025357202,15,0.003939967
SG_BIOENTRY_REF_ASSOC_r358337_c5_r358337_c5_diff_sets.hg.dat,7955794743433867120,2,2,0.0424184,1,0.00002117
cost_matrix_component_nr_1098_size_22_cutoff_10.0.cm.dat,4047679246344859729,1,1,0.000075524,1,0.000041903
