file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
matching38.dat,12766041913644495109,19,19,0.000282132,1,0.000267201
matching20.dat,3697865569601806407,10,10,0.000093081,1,0.000078776
matching44.dat,13479056049480052490,22,22,0.000357031,1,0.000341896
matching36.dat,8275361229274310919,18,18,0.00023951,1,0.000225311
bms2_50.dat,2316383891400065115,1,1,4.599615878,1,4.59959193
p98_512000.dat,8061244831784108349,3,3,60.990078901,91,60.172986014
p9_512000.dat,6274769844333946043,5,5,7594.431090172,29177,7547.435322464
p99_512000.dat,14083339889652072375,3,3,23.739247717,93,23.29221005
matching28.dat,18431202906592725797,14,14,0.000153737,1,0.000139382
matching24.dat,17479512465239577798,12,12,0.000122082,1,0.000107776
dualmatching40.dat,13064364758221539630,2,2,593.587466246,1,591.875419778
p95_512000.dat,10204637596526512112,4,4,945.632517005,2065,938.176750151
matching34.dat,9263680430650450826,17,17,0.000213814,1,0.000197781
matching46.dat,4756681762477421752,23,23,0.000393944,1,0.000378538
matching40.dat,2178592434390128057,20,20,0.000303643,1,0.000288577
matching30.dat,14845135706961506455,15,15,0.00016914,1,0.000154801
matching42.dat,2899499819269048077,21,21,0.000331291,1,0.000316133
matching32.dat,17960205556259769739,16,16,0.000197486,1,0.000175604
