file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_130_size_289_cutoff_10.0.cm.dat,13052352178094530891,100,100,11634.469844348,448641,11323.080295773
cost_matrix_component_nr_487_size_113_cutoff_10.0.cm.dat,16252766685933051553,48,52,11825.962731066,15774187,11468.77322447
cost_matrix_component_nr_493_size_263_cutoff_10.0.cm.dat,13771406719283523081,90,90,17940.032039359,646907,17313.242842514
cost_matrix_component_nr_54_size_279_cutoff_10.0.cm.dat,8840058942486859794,120,123,23079.699056264,1395789,22348.787411091
cost_matrix_component_nr_1751_size_144_cutoff_10.0.cm.dat,15089644725436757639,55,57,28287.166989298,5820373,27600.87773392
cost_matrix_component_nr_758_size_127_cutoff_10.0.cm.dat,11977141524668496620,53,54,32230.667780707,19003071,31222.119987745
cost_matrix_component_nr_95_size_134_cutoff_10.0.cm.dat,15913621156600829303,51,55,35987.988276852,34298865,35002.29789828
cost_matrix_component_nr_241_size_252_cutoff_10.0.cm.dat,10152686751885524589,131,132,41020.783204425,14767953,39973.866014365
cost_matrix_component_nr_794_size_163_cutoff_10.0.cm.dat,1212193579834574238,55,57,49692.83788978,13060125,48848.767050804
cost_matrix_component_nr_163_size_122_cutoff_10.0.cm.dat,3824625356504258419,68,69,62235.755356679,71952883,59066.894303521
cost_matrix_component_nr_525_size_215_cutoff_10.0.cm.dat,16775026753995546616,64,65,74271.730294071,7043685,72714.227667546
cost_matrix_component_nr_279_size_209_cutoff_10.0.cm.dat,1471807375188626870,112,122,81955.668406328,7123757,79117.773815867
