file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_883_size_13_cutoff_10.0.cm.dat,7922336546764353459,4,4,0.000417433,5,0.000322434
cost_matrix_component_nr_1264_size_22_cutoff_10.0.cm.dat,16614689542782194222,6,6,0.003530123,5,0.002761075
cost_matrix_component_nr_2183_size_43_cutoff_10.0.cm.dat,15889354119131329327,16,16,0.017728557,117,0.016406753
cost_matrix_component_nr_1478_size_13_cutoff_10.0.cm.dat,15569489867036046794,5,5,0.000789241,7,0.000601112
cost_matrix_component_nr_893_size_47_cutoff_10.0.cm.dat,2689551490433178131,5,5,0.007831195,5,0.006393517
cost_matrix_component_nr_2581_size_14_cutoff_10.0.cm.dat,10793376328595606360,4,4,0.000627077,5,0.000415346
cost_matrix_component_nr_1531_size_64_cutoff_10.0.cm.dat,5299758819766654221,11,11,0.092052388,15,0.072267254
cost_matrix_component_nr_2953_size_22_cutoff_10.0.cm.dat,10219785336362968968,5,5,0.000940049,3,0.000767011
cost_matrix_component_nr_1206_size_23_cutoff_10.0.cm.dat,10336254813081369468,5,5,0.003864819,3,0.001839564
cost_matrix_component_nr_1640_size_23_cutoff_10.0.cm.dat,9215468296541165453,8,8,0.00226208,13,0.002004628
cost_matrix_component_nr_3092_size_13_cutoff_10.0.cm.dat,14321367667273635750,4,5,0.000702655,5,0.000519403
cost_matrix_component_nr_2066_size_30_cutoff_10.0.cm.dat,3833159252009784099,12,12,0.015445221,95,0.014025109
cost_matrix_component_nr_1114_size_42_cutoff_10.0.cm.dat,14717015078652492622,20,20,0.140787214,253,0.124320219
cost_matrix_component_nr_289_size_55_cutoff_10.0.cm.dat,14878862887074749138,14,14,0.037944059,33,0.034101924
cost_matrix_component_nr_425_size_64_cutoff_10.0.cm.dat,3428404288948984467,14,14,0.145492555,79,0.119369551
cost_matrix_component_nr_2244_size_17_cutoff_10.0.cm.dat,3278931592388647241,6,6,0.001003701,7,0.000840399
cost_matrix_component_nr_1988_size_17_cutoff_10.0.cm.dat,11337289850263621107,5,5,0.000877963,5,0.000686901
cost_matrix_component_nr_1124_size_32_cutoff_10.0.cm.dat,15292775351966780004,6,6,0.007217992,7,0.006286999
cost_matrix_component_nr_572_size_30_cutoff_10.0.cm.dat,12427721396632260239,10,10,0.011515075,33,0.00878641
cost_matrix_component_nr_2617_size_8_cutoff_10.0.cm.dat,1392926280494711061,3,3,0.000148489,3,0.000095085
cost_matrix_component_nr_642_size_31_cutoff_10.0.cm.dat,4442496463346258552,10,10,0.010050475,21,0.008037732
cost_matrix_component_nr_1319_size_13_cutoff_10.0.cm.dat,5688096596616465180,4,4,0.000361857,3,0.000278895
cost_matrix_component_nr_483_size_50_cutoff_10.0.cm.dat,10645887112988617345,7,7,0.032897528,11,0.027204701
cost_matrix_component_nr_725_size_11_cutoff_10.0.cm.dat,555198425316227150,4,4,0.000294219,5,0.000229244
cost_matrix_component_nr_744_size_29_cutoff_10.0.cm.dat,5736242387980096744,14,14,0.027831913,133,0.022715301
cost_matrix_component_nr_565_size_45_cutoff_10.0.cm.dat,4526980240806029736,19,20,0.223644989,279,0.201413901
cost_matrix_component_nr_751_size_10_cutoff_10.0.cm.dat,8415314579685087510,4,4,0.000490106,5,0.000344289
cost_matrix_component_nr_1115_size_49_cutoff_10.0.cm.dat,17321255372076747280,11,11,0.046644008,29,0.016452134
cost_matrix_component_nr_2895_size_11_cutoff_10.0.cm.dat,10922939278070473640,4,4,0.000465363,3,0.000324434
cost_matrix_component_nr_576_size_49_cutoff_10.0.cm.dat,852862201004742735,9,9,0.044397726,27,0.038278551
cost_matrix_component_nr_3373_size_17_cutoff_10.0.cm.dat,14968611938134356499,7,7,0.002692928,7,0.000972934
cost_matrix_component_nr_1008_size_10_cutoff_10.0.cm.dat,2784878786640397502,4,4,0.000231109,5,0.000177583
cost_matrix_component_nr_543_size_47_cutoff_10.0.cm.dat,9737375805465809662,8,8,0.048660791,23,0.032238163
cost_matrix_component_nr_1092_size_30_cutoff_10.0.cm.dat,363105796210466346,7,7,0.008564055,11,0.005246584
cost_matrix_component_nr_479_size_30_cutoff_10.0.cm.dat,8674166220358681674,11,11,0.016289592,67,0.013771143
cost_matrix_component_nr_2139_size_19_cutoff_10.0.cm.dat,17878706278089230881,7,7,0.012003793,11,0.002589081
cost_matrix_component_nr_702_size_42_cutoff_10.0.cm.dat,16747665321526719509,14,14,0.044242713,63,0.041378442
cost_matrix_component_nr_611_size_57_cutoff_10.0.cm.dat,4405252989421381005,22,24,0.18097126,345,0.161538247
cost_matrix_component_nr_1467_size_65_cutoff_10.0.cm.dat,6105622947660171253,11,11,0.044111522,41,0.03918517
cost_matrix_component_nr_1020_size_44_cutoff_10.0.cm.dat,17060028028589692944,16,16,0.026167078,81,0.023704064
cost_matrix_component_nr_3576_size_34_cutoff_10.0.cm.dat,16508776977606080886,13,13,0.022943347,37,0.019597268
cost_matrix_component_nr_1854_size_14_cutoff_10.0.cm.dat,6213476374622067268,3,3,0.002096772,3,0.00048684
cost_matrix_component_nr_980_size_52_cutoff_10.0.cm.dat,4361802553565613054,20,20,0.321273326,207,0.240171471
