file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_3343_size_11_cutoff_10.0.cm.dat,13292702187771409916,3,3,0.000253532,3,0.000181642
cost_matrix_component_nr_893_size_47_cutoff_10.0.cm.dat,7349111685285115370,5,5,0.01095732,9,0.008519441
cost_matrix_component_nr_955_size_15_cutoff_10.0.cm.dat,294055138822933926,4,4,0.000894873,5,0.00069324
cost_matrix_component_nr_2416_size_21_cutoff_10.0.cm.dat,11116606008831917823,4,4,0.000760649,3,0.000613268
cost_matrix_component_nr_2002_size_14_cutoff_10.0.cm.dat,13377462517557948483,3,3,0.00029116,5,0.000222475
cost_matrix_component_nr_1871_size_16_cutoff_10.0.cm.dat,2499950885347028992,7,8,0.004924033,25,0.004080929
cost_matrix_component_nr_883_size_13_cutoff_10.0.cm.dat,16282125418518512224,4,4,0.000427371,3,0.000337587
cost_matrix_component_nr_1295_size_43_cutoff_10.0.cm.dat,8089770291100106172,18,18,0.052336954,261,0.048040475
cost_matrix_component_nr_3694_size_16_cutoff_10.0.cm.dat,9021525194200107684,6,6,0.001032361,17,0.000862934
cost_matrix_component_nr_1853_size_47_cutoff_10.0.cm.dat,13491550757588040442,18,18,0.147406475,269,0.133902423
cost_matrix_component_nr_1171_size_22_cutoff_10.0.cm.dat,648844393807856889,4,4,0.000666229,3,0.000501707
cost_matrix_component_nr_654_size_34_cutoff_10.0.cm.dat,6003258575752065237,11,11,0.012321864,47,0.011429611
cost_matrix_component_nr_1350_size_16_cutoff_10.0.cm.dat,17835055465032656089,3,3,0.000422189,3,0.000343438
cost_matrix_component_nr_1339_size_32_cutoff_10.0.cm.dat,14903323736068843789,9,9,0.014394031,25,0.009325424
cost_matrix_component_nr_1354_size_16_cutoff_10.0.cm.dat,14659249006961398566,5,5,0.000587331,9,0.00048659
cost_matrix_component_nr_791_size_17_cutoff_10.0.cm.dat,5958699253011592749,6,6,0.000290976,3,0.000244748
cost_matrix_component_nr_1430_size_45_cutoff_10.0.cm.dat,17392293740688075732,10,10,0.018743861,13,0.014784612
cost_matrix_component_nr_204_size_27_cutoff_10.0.cm.dat,4923140351417470724,6,6,0.005725214,17,0.005015498
cost_matrix_component_nr_419_size_48_cutoff_10.0.cm.dat,7117349731002699038,6,6,0.009846685,3,0.008833529
cost_matrix_component_nr_1286_size_62_cutoff_10.0.cm.dat,8580046175633046445,19,19,0.191062867,135,0.172216191
cost_matrix_component_nr_1184_size_55_cutoff_10.0.cm.dat,7906043258972106186,14,14,0.10458343,89,0.098230155
cost_matrix_component_nr_12_size_57_cutoff_10.0.cm.dat,5754179028564988136,27,27,0.356203912,451,0.320993378
cost_matrix_component_nr_161_size_47_cutoff_10.0.cm.dat,13918326608248250117,5,5,0.0058206,3,0.004617563
cost_matrix_component_nr_1783_size_35_cutoff_10.0.cm.dat,2294135551938746336,13,13,0.030801098,135,0.027830364
flight_r1001_c109_r1001_c109_UCCs.hg.dat,17542673376954109670,4,5,0.438298788,43,0.388564628
cost_matrix_component_nr_2855_size_13_cutoff_10.0.cm.dat,17868164080434653782,4,4,0.00042618,3,0.000294667
cost_matrix_component_nr_1226_size_33_cutoff_10.0.cm.dat,14406678999117843546,11,11,0.021831891,51,0.019004927
echocardiogram_r132_c13_r132_c13_diff_sets.hg.dat,15962868124455746342,3,3,0.000342968,7,0.000297816
