file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
p9_512000.dat,9470286640790312390,5,5,8209.013940004,29135,8159.866188003
p95_512000.dat,15686483886467178209,4,4,1034.472367255,2079,1026.450441538
p95_512000.dat,356160549796164254,4,4,1046.607838855,2079,1038.826563378
p95_512000.dat,12030221852428524409,4,4,1002.790561238,2075,994.917815847
p95_512000.dat,1832003568825782477,4,4,1029.985870782,2081,1021.708334402
p95_512000.dat,5493894399967988428,4,4,1014.962802862,2079,1007.185645663
p95_512000.dat,4916926025388131500,4,4,1035.803360715,2077,1027.902950597
p95_512000.dat,9089683188138851572,4,4,1056.337918621,2077,1048.268423099
p9_512000.dat,17836162830427417600,5,5,8336.466795011,29049,8285.405773867
p9_512000.dat,4119073706972433102,5,5,8284.753941082,28975,8234.791726407
p9_512000.dat,16949059177823896430,5,5,8293.511444589,28939,8244.029260697
p95_512000.dat,10191122552199770097,4,4,1106.343162425,2075,1097.267686833
p9_512000.dat,13388083560941856950,5,5,8235.861196811,29067,8185.574939235
p95_512000.dat,9276417843199318726,4,4,1029.516303748,2077,1020.428753404
p9_512000.dat,4071162178060561910,5,5,8235.074124641,28907,8185.390255533
p9_512000.dat,7302095706404077990,5,5,8326.408395795,28963,8276.75313089
p9_512000.dat,729340890376072574,5,5,8193.376912746,28863,8144.575879328
p9_512000.dat,3097997865449780153,5,5,8243.155496574,28991,8192.64961041
p95_512000.dat,4212396560073704571,4,4,1650.955713151,2073,1637.816627273
p9_512000.dat,2354032860416446647,5,5,8707.215630448,28919,8661.270749839
