file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
p95_512000.dat,14457006124765501355,4,4,1016.532648473,2069,1008.887198999
p9_512000.dat,8662825768092162208,5,5,8544.45496788,29151,8493.629065914
p95_512000.dat,14833691702743479527,4,4,1072.353228295,2063,1064.519448952
p95_512000.dat,14124129550402957452,4,4,1048.09868936,2067,1039.89750985
p95_512000.dat,10932983740848020277,4,4,1062.849632042,2065,1054.744824525
p9_512000.dat,13690243342702092025,5,5,8511.651138123,29129,8462.960437845
p9_512000.dat,12902566860491701379,5,5,8316.646928713,29185,8267.926509348
p95_512000.dat,10690881497764283204,4,4,1029.220831659,2065,1021.181080216
p9_512000.dat,12566722529207430976,5,5,8253.430624975,29119,8203.906369983
p9_512000.dat,1034369926543773516,5,5,8574.781549937,29125,8525.478031556
p9_512000.dat,7395288135151065662,5,5,8576.126218114,29187,8526.347953541
p95_512000.dat,10473503028391576574,4,4,1018.391504505,2057,1009.296479498
p95_512000.dat,1715465155345950077,4,4,1043.827979154,2079,1035.890335404
p9_512000.dat,15491400262974421726,5,5,8668.343260706,29109,8617.005349026
p9_512000.dat,3832860385466774574,5,5,8334.271737829,29139,8284.432515703
p95_512000.dat,8846765798325361225,4,4,1051.54485732,2065,1043.265117076
p9_512000.dat,12924470972687883313,5,5,8349.359741389,29095,8299.215943316
p9_512000.dat,15496284943096423567,5,5,8228.670996314,29107,8179.3477586
p95_512000.dat,7950845180897328232,4,4,1042.189461552,2071,1034.071599804
p95_512000.dat,17952345758990966442,4,4,1025.141704246,2071,1017.024371507
