file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_673_size_53_cutoff_10.0.cm.dat,8700794337607537334,25,28,1.104474773,2467,1.017075539
cost_matrix_component_nr_27_size_66_cutoff_10.0.cm.dat,7517973096864685536,34,34,5.233951249,2895,4.796721483
cost_matrix_component_nr_186_size_78_cutoff_10.0.cm.dat,7780039101646405795,41,41,7.877667662,4869,7.286671277
cost_matrix_component_nr_381_size_132_cutoff_10.0.cm.dat,598068728557020577,28,31,9.569522069,1787,8.825965327
cost_matrix_component_nr_596_size_81_cutoff_10.0.cm.dat,17623972067509546543,28,28,12.537429779,8021,11.850296581
cost_matrix_component_nr_421_size_111_cutoff_10.0.cm.dat,6159534583064163153,42,42,15.175168339,2083,13.838850577
cost_matrix_component_nr_1760_size_76_cutoff_10.0.cm.dat,5979852302367578121,28,28,7.77420307,3975,7.435787649
cost_matrix_component_nr_186_size_78_cutoff_10.0.cm.dat,17221449588182261052,41,41,12.469467839,7791,11.505604267
cost_matrix_component_nr_268_size_104_cutoff_10.0.cm.dat,5053279846917364487,33,33,17.43686536,11149,16.832471009
cost_matrix_component_nr_504_size_96_cutoff_10.0.cm.dat,2872815472632031330,39,39,7.764459923,2033,6.990426587
cost_matrix_component_nr_501_size_129_cutoff_10.0.cm.dat,7820171196266105028,40,40,24.911073483,1341,23.111592036
cost_matrix_component_nr_251_size_46_cutoff_10.0.cm.dat,3793036268886899573,22,23,1.190407216,2991,1.106742945
cost_matrix_component_nr_897_size_42_cutoff_10.0.cm.dat,3317316167358190773,21,21,0.242162063,1005,0.222862946
cost_matrix_component_nr_362_size_99_cutoff_10.0.cm.dat,9635709072819473836,40,40,18.149216943,2913,16.593840299
tpch_denormalized_r6001216_c52_r500000_c52_UCCs.hg.dat,959041575181893969,15,16,33.639642298,2571,30.062493706
cost_matrix_component_nr_256_size_119_cutoff_10.0.cm.dat,4065400460025917136,47,49,39.559753738,4581,37.175388754
cost_matrix_component_nr_950_size_71_cutoff_10.0.cm.dat,9976947588404438120,30,31,3.738413006,3975,3.602465946
p7_2000.dat,2482539931485068063,5,5,33.853793205,26321,31.457185222
cost_matrix_component_nr_716_size_124_cutoff_10.0.cm.dat,17014393217826069922,47,47,26.094797421,2815,24.290087313
cost_matrix_component_nr_697_size_92_cutoff_10.0.cm.dat,10825357941080884219,26,26,0.933646873,4025,0.90211997
cost_matrix_component_nr_173_size_86_cutoff_10.0.cm.dat,10500267986283933193,35,37,32.940378248,25703,31.904722048
cost_matrix_component_nr_1680_size_60_cutoff_10.0.cm.dat,14959228338212993945,30,32,2.379077628,3333,2.203544873
cost_matrix_component_nr_1585_size_88_cutoff_10.0.cm.dat,16136987127694058296,32,33,21.855710061,18333,20.659411297
cost_matrix_component_nr_1059_size_55_cutoff_10.0.cm.dat,1847474830239876657,24,26,2.138081395,5609,2.029349564
cost_matrix_component_nr_595_size_121_cutoff_10.0.cm.dat,18146994744705488134,50,50,64.357293266,11379,60.778253431
cost_matrix_component_nr_588_size_79_cutoff_10.0.cm.dat,10862713959827103162,23,23,3.003152176,1437,2.876498695
cost_matrix_component_nr_362_size_99_cutoff_10.0.cm.dat,14564896871428130942,40,40,13.228722661,2581,12.311828344
cost_matrix_component_nr_53_size_84_cutoff_10.0.cm.dat,13518940210644407582,37,37,97.58837066,85981,92.978356213
cost_matrix_component_nr_537_size_144_cutoff_10.0.cm.dat,4738697003349919498,41,41,49.815425065,2347,47.110276637
cost_matrix_component_nr_1219_size_77_cutoff_10.0.cm.dat,9280407168649623720,39,39,7.253305311,2345,6.6183202340000005
tpch_denormalized_r6001216_c52_r500000_c52_UCCs.hg.dat,5579490644611824327,15,16,34.721114996,2213,31.017502719
p7_1000.dat,3062285766312666657,4,4,5.536413468,1829,5.205121718
p6_2000.dat,15025777044827566961,6,7,109.686441357,227217,99.027841945
cost_matrix_component_nr_739_size_98_cutoff_10.0.cm.dat,8288339217652505610,57,57,148.342753728,77449,137.688146263
cost_matrix_component_nr_966_size_47_cutoff_10.0.cm.dat,10423766605299055327,25,28,1.191321295,4013,1.089385116
p8_4000.dat,15636276408494496970,4,4,46.888640729,1915,45.746055689
cost_matrix_component_nr_65_size_133_cutoff_10.0.cm.dat,4854183666738593191,28,28,61.183414053999996,10823,59.281085492
cost_matrix_component_nr_256_size_119_cutoff_10.0.cm.dat,13251646718359528383,47,49,40.894700233,4081,38.488360834
p9_16000.dat,3740705219690313153,4,4,176.209815465,2087,173.944729784
cost_matrix_component_nr_481_size_118_cutoff_10.0.cm.dat,3996097630649659921,56,56,32.609101445,9109,30.499014075
cost_matrix_component_nr_96_size_139_cutoff_10.0.cm.dat,10015469904538602414,60,60,109.066049891,22177,103.553215512
cost_matrix_component_nr_697_size_92_cutoff_10.0.cm.dat,1078100121643742763,26,26,0.339200573,2191,0.328216172
cost_matrix_component_nr_470_size_137_cutoff_10.0.cm.dat,7536958601130578276,56,61,244.854815185,22465,229.819272626
cost_matrix_component_nr_504_size_96_cutoff_10.0.cm.dat,12514217795489779230,39,39,5.765239581,1485,5.195841512
