file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_3528_size_4_cutoff_10.0.cm.dat,7887814784061264932,1,1,0.000026781,1,0.000012441
cost_matrix_component_nr_1515_size_13_cutoff_10.0.cm.dat,14380179280861415510,1,1,0.000102722,1,0.000078642
cost_matrix_component_nr_1861_size_12_cutoff_10.0.cm.dat,9453019288110836182,1,1,0.000028499,1,0.000022963
cost_matrix_component_nr_3153_size_3_cutoff_10.0.cm.dat,3202832628929618879,1,1,0.000040114,1,0.000015226
cost_matrix_component_nr_3067_size_3_cutoff_10.0.cm.dat,7806255491399116969,1,1,0.000033259,1,0.000011972
cost_matrix_component_nr_3507_size_4_cutoff_10.0.cm.dat,14421436210482323250,1,1,0.001705052,1,0.000015339
cost_matrix_component_nr_2721_size_4_cutoff_10.0.cm.dat,11942652831549259247,1,1,0.000030974,1,0.000011278
cost_matrix_component_nr_3268_size_7_cutoff_10.0.cm.dat,3747796441131611439,1,1,0.000094096,1,0.000032866
cost_matrix_component_nr_429_size_15_cutoff_10.0.cm.dat,4902139148581762652,4,4,0.001997166,3,0.00066774
cost_matrix_component_nr_3182_size_6_cutoff_10.0.cm.dat,14974075668635660921,1,1,0.000040335,1,0.000023094
cost_matrix_component_nr_2158_size_6_cutoff_10.0.cm.dat,17165695506824574607,1,1,0.000054861,1,0.000023936
cost_matrix_component_nr_3887_size_3_cutoff_10.0.cm.dat,13518976163031694867,1,1,0.0000255,1,0.000010026
cost_matrix_component_nr_1406_size_14_cutoff_10.0.cm.dat,9705695955697504590,1,1,0.000109736,1,0.00008833
cost_matrix_component_nr_2444_size_5_cutoff_10.0.cm.dat,16780456792071298165,2,2,0.000066839,1,0.00003812
cost_matrix_component_nr_2878_size_16_cutoff_10.0.cm.dat,8989672855469068687,2,2,0.000511296,1,0.000376327
cost_matrix_component_nr_3010_size_5_cutoff_10.0.cm.dat,4414427114658556071,2,2,0.000045437,1,0.000022276
cost_matrix_component_nr_3292_size_4_cutoff_10.0.cm.dat,2558802363887831814,1,1,0.000031749,1,0.000013913
cost_matrix_component_nr_2795_size_13_cutoff_10.0.cm.dat,944816068271609812,6,6,0.001981984,15,0.001639525
cost_matrix_component_nr_1413_size_20_cutoff_10.0.cm.dat,11089964925134314320,8,9,0.025923865,41,0.003996427
cost_matrix_component_nr_1092_size_30_cutoff_10.0.cm.dat,13580977574138851991,7,7,0.009589709,11,0.007954042
cost_matrix_component_nr_900_size_45_cutoff_10.0.cm.dat,11051170359834903824,15,15,0.086339662,89,0.03892773
cost_matrix_component_nr_2780_size_3_cutoff_10.0.cm.dat,6323414872126561714,1,1,0.000025609,1,9.603e-6
cost_matrix_component_nr_625_size_43_cutoff_10.0.cm.dat,765738061346282966,10,10,0.051020844,13,0.025830376
cost_matrix_component_nr_1989_size_18_cutoff_10.0.cm.dat,2923793167682152414,5,5,0.017769266,5,0.002667791
cost_matrix_component_nr_3960_size_3_cutoff_10.0.cm.dat,7451603214121078147,1,1,0.000041378,1,9.341e-6
cost_matrix_component_nr_2903_size_13_cutoff_10.0.cm.dat,2958818408070830478,1,1,0.00306174,1,0.000152388
cost_matrix_component_nr_3754_size_4_cutoff_10.0.cm.dat,18309367663579790458,1,1,0.032012258,1,0.00001908
cost_matrix_component_nr_2190_size_6_cutoff_10.0.cm.dat,3173529995909652366,1,1,0.00250628,1,0.000041666
cost_matrix_component_nr_1621_size_23_cutoff_10.0.cm.dat,60192593840147101,3,3,0.034568358,1,0.000561906
cost_matrix_component_nr_1922_size_8_cutoff_10.0.cm.dat,9946202906812047698,2,2,0.002490287,1,0.000051424
cost_matrix_component_nr_368_size_54_cutoff_10.0.cm.dat,5967754756618769791,16,16,0.109933362,65,0.069091319
cost_matrix_component_nr_3127_size_5_cutoff_10.0.cm.dat,17035884933706008112,1,1,0.000029983,1,0.000011733
cost_matrix_component_nr_3522_size_8_cutoff_10.0.cm.dat,6300783017672185364,1,1,0.001843241,1,0.000023359
WDC_astrology_r13_c7_r13_c7_UCCs.hg.dat,7977316223586188402,5,5,0.000065138,3,0.000047589
cost_matrix_component_nr_3301_size_4_cutoff_10.0.cm.dat,7404169604390695546,1,1,0.000016448,1,7.854e-6
cost_matrix_component_nr_3844_size_3_cutoff_10.0.cm.dat,1090894505779707391,1,1,0.000027379,1,9.301e-6
cost_matrix_component_nr_938_size_52_cutoff_10.0.cm.dat,12032037674773295710,8,8,0.03657841,17,0.023488499
cost_matrix_component_nr_1424_size_20_cutoff_10.0.cm.dat,16276433632115107714,4,4,0.046165448,1,0.000577624
t_biocase_gathering_sitecoordinates_r91349_c25_r91349_c25_UCCs.hg.dat,3528819220451951599,2,2,0.000044773,1,0.00001993
cost_matrix_component_nr_1252_size_32_cutoff_10.0.cm.dat,2935425951440132978,8,8,0.08153685,7,0.010634256
cost_matrix_component_nr_454_size_51_cutoff_10.0.cm.dat,16192586437338005805,6,6,0.085825057,5,0.014748839
cost_matrix_component_nr_1692_size_21_cutoff_10.0.cm.dat,4144644851360347833,2,2,0.000362891,1,0.000261942
WDC_satellites_r174_c8_r174_c8_UCCs.hg.dat,13543907322750347414,2,2,0.000018059,1,9.901e-6
cost_matrix_component_nr_3367_size_3_cutoff_10.0.cm.dat,5041572856784371996,1,1,0.000012529,1,4.41e-6
cost_matrix_component_nr_2877_size_13_cutoff_10.0.cm.dat,7161897339494259644,1,1,0.000071051,1,0.000042438
cost_matrix_component_nr_2376_size_4_cutoff_10.0.cm.dat,18290484151600998394,1,1,0.000014264,1,6.753e-6
cost_matrix_component_nr_3022_size_8_cutoff_10.0.cm.dat,11618384648534688311,2,2,0.00012099,1,0.000079003
cost_matrix_component_nr_2658_size_11_cutoff_10.0.cm.dat,15594779234829508509,3,3,0.000136055,3,0.000101738
cost_matrix_component_nr_2725_size_13_cutoff_10.0.cm.dat,1018952360511765443,4,4,0.000294326,3,0.000204737
cost_matrix_component_nr_733_size_4_cutoff_10.0.cm.dat,17125383644407596206,1,1,0.000019122,1,8.273e-6
cost_matrix_component_nr_1094_size_33_cutoff_10.0.cm.dat,5303715491245867545,12,12,0.009383425,51,0.006041529
cost_matrix_component_nr_406_size_20_cutoff_10.0.cm.dat,4279536037832287301,7,7,0.003916275,17,0.003395486
cost_matrix_component_nr_31_size_65_cutoff_10.0.cm.dat,4132974516462830644,18,18,0.165800594,77,0.139172933
cost_matrix_component_nr_271_size_71_cutoff_10.0.cm.dat,8514563460981187304,7,7,0.031051217,7,0.002090124
100k_fd_reduced_30_diff.graph.dat,5034838044970120379,2,2,0.049520414,1,0.010984855
cost_matrix_component_nr_70_size_6_cutoff_10.0.cm.dat,6930281924832582906,1,1,0.000054301,1,0.000032275
cost_matrix_component_nr_3549_size_5_cutoff_10.0.cm.dat,16170238507220022662,1,1,0.000017481,1,8.776e-6
cost_matrix_component_nr_3223_size_6_cutoff_10.0.cm.dat,8720714378003212761,1,1,0.000031607,1,0.000017756
cost_matrix_component_nr_259_size_5_cutoff_10.0.cm.dat,8937987368205283179,1,1,0.000016256,1,8.634e-6
cost_matrix_component_nr_319_size_43_cutoff_10.0.cm.dat,10872519553579786282,18,19,0.139154536,319,0.108955358
cost_matrix_component_nr_3810_size_5_cutoff_10.0.cm.dat,13415590341655238818,1,1,0.000014358,1,8.173e-6
cost_matrix_component_nr_558_size_75_cutoff_10.0.cm.dat,942957216470838851,12,12,0.164180364,29,0.148322086
ac_90k.dat,11633115991388789850,1,1,0.321499755,1,0.313233943
cost_matrix_component_nr_435_size_10_cutoff_10.0.cm.dat,7137123320643256912,1,1,0.001465476,1,0.000052143
cost_matrix_component_nr_1456_size_12_cutoff_10.0.cm.dat,15070527040809781680,3,3,0.001548939,1,0.000094711
cost_matrix_component_nr_2607_size_14_cutoff_10.0.cm.dat,10680806310290537433,2,2,0.000215091,1,0.000135813
cost_matrix_component_nr_1122_size_15_cutoff_10.0.cm.dat,12981658419581063695,1,1,0.001543286,1,0.000096925
cost_matrix_component_nr_2917_size_3_cutoff_10.0.cm.dat,6209245428391945595,1,1,0.000022195,1,9.325e-6
SG_LOCATION_r1020335_c8_r1020335_c8_diff_sets.hg.dat,6083275142467624198,1,1,0.00002894,1,0.00001255
cost_matrix_component_nr_3868_size_4_cutoff_10.0.cm.dat,1536414946298972589,1,1,0.000032937,1,0.000014375
cost_matrix_component_nr_526_size_26_cutoff_10.0.cm.dat,6300873188785378367,7,7,0.050947502,13,0.007317022
cost_matrix_component_nr_3927_size_5_cutoff_10.0.cm.dat,16585467638982707830,2,2,0.000045568,1,0.000023692
cost_matrix_component_nr_1706_size_63_cutoff_10.0.cm.dat,12868741466267732678,6,6,0.024162441,5,0.017910022
cost_matrix_component_nr_849_size_7_cutoff_10.0.cm.dat,16185184346758843140,1,1,0.000035372,1,0.000020384
cost_matrix_component_nr_3619_size_5_cutoff_10.0.cm.dat,3804092386764239581,1,1,0.001509338,1,0.000017244
cost_matrix_component_nr_3459_size_7_cutoff_10.0.cm.dat,12522482792678296641,1,1,0.000046907,1,0.000020308
cost_matrix_component_nr_3262_size_3_cutoff_10.0.cm.dat,1429408742522770749,1,1,0.000023214,1,7.114e-6
cost_matrix_component_nr_3085_size_5_cutoff_10.0.cm.dat,1969921103385753703,1,1,0.000045094,1,0.000017473
cost_matrix_component_nr_40_size_18_cutoff_10.0.cm.dat,18044711734381120502,3,3,0.000530208,3,0.000412259
cost_matrix_component_nr_1626_size_5_cutoff_10.0.cm.dat,12384514919998218731,1,1,0.000044922,1,0.000020708
cost_matrix_component_nr_2085_size_3_cutoff_10.0.cm.dat,17646071516659589610,1,1,0.000022264,1,9.204e-6
cost_matrix_component_nr_1037_size_31_cutoff_10.0.cm.dat,18281010492991417917,15,15,0.065927959,133,0.037026015
cost_matrix_component_nr_1646_size_11_cutoff_10.0.cm.dat,17527372119828356066,2,2,0.000063184,1,0.00004683
cost_matrix_component_nr_2163_size_22_cutoff_10.0.cm.dat,10239390712782907244,4,4,0.003948573,1,0.000528864
cost_matrix_component_nr_390_size_47_cutoff_10.0.cm.dat,17162368345116721038,6,6,0.011003784,7,0.007290692
cost_matrix_component_nr_2403_size_6_cutoff_10.0.cm.dat,4333647373183096512,1,1,0.000017996,1,9.013e-6
cost_matrix_component_nr_2586_size_10_cutoff_10.0.cm.dat,16351199315431633489,2,2,0.000064843,1,0.0000546
cost_matrix_component_nr_1379_size_8_cutoff_10.0.cm.dat,8255867317409474497,2,2,0.000091754,1,0.000055901
cost_matrix_component_nr_533_size_21_cutoff_10.0.cm.dat,17762453107723522336,4,4,0.012398167,1,0.000525388
cost_matrix_component_nr_166_size_50_cutoff_10.0.cm.dat,11346644701460618126,3,3,0.014645127,1,0.001459531
cost_matrix_component_nr_639_size_49_cutoff_10.0.cm.dat,11261559733396639363,11,11,0.054684147,41,0.043634817
cost_matrix_component_nr_1807_size_7_cutoff_10.0.cm.dat,10408010699041633251,2,2,0.000092607,1,0.000063557
cost_matrix_component_nr_811_size_18_cutoff_10.0.cm.dat,12599776133052180911,7,7,0.016738647,11,0.002799617
cost_matrix_component_nr_3274_size_4_cutoff_10.0.cm.dat,3748931450300902573,1,1,0.00001921,1,7.95e-6
cost_matrix_component_nr_1551_size_6_cutoff_10.0.cm.dat,9766852967339412305,2,2,0.000046957,1,0.00003105
cost_matrix_component_nr_1066_size_46_cutoff_10.0.cm.dat,2633357983056068985,11,11,0.045774369,27,0.026886961
cost_matrix_component_nr_39_size_12_cutoff_10.0.cm.dat,7730510439704722122,3,3,0.002128629,1,0.000091179
cost_matrix_component_nr_538_size_50_cutoff_10.0.cm.dat,10206981289805788252,20,20,0.17952548,387,0.158773988
cost_matrix_component_nr_2460_size_8_cutoff_10.0.cm.dat,16323503573686664379,2,2,0.000062863,1,0.000035262
cost_matrix_component_nr_1275_size_48_cutoff_10.0.cm.dat,7424118598933571004,8,8,0.013265254,9,0.009714063
cost_matrix_component_nr_3575_size_3_cutoff_10.0.cm.dat,14505502004795162929,1,1,0.000057758,1,0.000014634
cost_matrix_component_nr_3822_size_6_cutoff_10.0.cm.dat,9450784487215927693,1,1,0.000035089,1,0.000020141
cost_matrix_component_nr_2078_size_17_cutoff_10.0.cm.dat,6299095750131368833,1,1,0.000071547,1,0.000033441
cost_matrix_component_nr_3662_size_4_cutoff_10.0.cm.dat,6607099393615229982,1,1,0.000045802,1,0.000013866
cost_matrix_component_nr_1753_size_4_cutoff_10.0.cm.dat,2731890768372868712,1,1,0.003542273,1,0.000013027
cost_matrix_component_nr_1542_size_4_cutoff_10.0.cm.dat,13978012102715535482,1,1,0.000018738,1,8.134e-6
cost_matrix_component_nr_1581_size_20_cutoff_10.0.cm.dat,2898668591612018425,7,7,0.006934371,7,0.001431431
cost_matrix_component_nr_2111_size_17_cutoff_10.0.cm.dat,3823051490269599045,4,4,0.005406211,3,0.00038697
cost_matrix_component_nr_3624_size_22_cutoff_10.0.cm.dat,10546269270465748604,7,7,0.027502117,31,0.008562303
cost_matrix_component_nr_2065_size_16_cutoff_10.0.cm.dat,16497352896250860064,4,4,0.001517282,1,0.0001865
cost_matrix_component_nr_1447_size_7_cutoff_10.0.cm.dat,3818694980706622387,2,2,0.000040945,1,0.000033118
cost_matrix_component_nr_953_size_29_cutoff_10.0.cm.dat,14177597571972750193,12,12,0.017628506,49,0.013701677
cost_matrix_component_nr_3257_size_12_cutoff_10.0.cm.dat,16153802027178479966,3,3,0.002464981,3,0.000169503
cost_matrix_component_nr_780_size_7_cutoff_10.0.cm.dat,5014595866775068,1,1,0.00005569,1,0.000027605
cost_matrix_component_nr_1280_size_15_cutoff_10.0.cm.dat,3246966300971357832,5,5,0.000499193,7,0.000418841
cost_matrix_component_nr_3713_size_9_cutoff_10.0.cm.dat,7449825548123292001,1,1,0.001518646,1,0.000019907
t_biocase_gathering_r90992_c35_r90992_c35_diff_sets.hg.dat,8393654801125291548,1,1,0.000015739,1,4.49e-6
cost_matrix_component_nr_2367_size_9_cutoff_10.0.cm.dat,16676239662996813266,1,1,0.000043833,1,0.00003076
cost_matrix_component_nr_784_size_53_cutoff_10.0.cm.dat,12566763357177128052,14,15,0.046608364,61,0.030270129
cost_matrix_component_nr_2325_size_12_cutoff_10.0.cm.dat,13506464768006422827,4,4,0.001526736,3,0.000203522
cost_matrix_component_nr_3505_size_5_cutoff_10.0.cm.dat,15736767807355948717,1,1,0.000040078,1,0.000019175
cost_matrix_component_nr_1522_size_5_cutoff_10.0.cm.dat,9543899723516316213,1,1,0.000027391,1,8.66e-6
cost_matrix_component_nr_2308_size_5_cutoff_10.0.cm.dat,5967658573785267970,1,1,0.000031561,1,0.000015403
cost_matrix_component_nr_3019_size_12_cutoff_10.0.cm.dat,8655667077440592595,4,4,0.001747969,3,0.000229013
cost_matrix_component_nr_2862_size_6_cutoff_10.0.cm.dat,7730668531391985555,1,1,0.000041307,1,0.000020622
cost_matrix_component_nr_2964_size_3_cutoff_10.0.cm.dat,5573416079548264567,1,1,0.00003603,1,0.000011864
cost_matrix_component_nr_2296_size_3_cutoff_10.0.cm.dat,4363273682422632960,1,1,0.000026374,1,9.78e-6
cost_matrix_component_nr_478_size_47_cutoff_10.0.cm.dat,13285726303118163615,1,1,0.001370498,1,0.000114843
cost_matrix_component_nr_1985_size_19_cutoff_10.0.cm.dat,17150515487931022198,4,4,0.002954407,3,0.000620949
cost_matrix_component_nr_2159_size_49_cutoff_10.0.cm.dat,15075759620489779439,3,3,0.005693346,3,0.003367305
cost_matrix_component_nr_644_size_6_cutoff_10.0.cm.dat,9796137272543656670,1,1,0.000027412,1,0.000016398
cost_matrix_component_nr_3479_size_4_cutoff_10.0.cm.dat,6607366046805508280,1,1,0.000036901,1,0.000012469
cost_matrix_component_nr_386_size_18_cutoff_10.0.cm.dat,8453494298522694991,1,1,0.001464597,1,0.000184585
cost_matrix_component_nr_3433_size_9_cutoff_10.0.cm.dat,8964511421805978808,3,3,0.000113691,1,0.000069132
cost_matrix_component_nr_1639_size_21_cutoff_10.0.cm.dat,14203434607701750440,7,7,0.002758373,17,0.002260984
t_biocase_gathering_namedareas_r137711_c11_r137711_c11_diff_sets.hg.dat,2296918669806058289,1,1,0.000033071,1,0.00001498
cost_matrix_component_nr_1855_size_5_cutoff_10.0.cm.dat,18292863348131623807,1,1,0.000058293,1,0.000020608
cost_matrix_component_nr_1697_size_6_cutoff_10.0.cm.dat,174435965561740446,1,1,0.000016345,1,0.000010409
cost_matrix_component_nr_1774_size_58_cutoff_10.0.cm.dat,16853446317272347294,21,21,0.789845754,1211,0.69818574
cost_matrix_component_nr_2335_size_18_cutoff_10.0.cm.dat,11865204873680017078,4,4,0.000415492,3,0.000333581
cost_matrix_component_nr_3066_size_3_cutoff_10.0.cm.dat,9802494434908740158,1,1,0.000024318,1,0.000010396
cost_matrix_component_nr_3469_size_7_cutoff_10.0.cm.dat,9348209772864225524,2,2,0.000107711,1,0.000081738
cost_matrix_component_nr_1764_size_8_cutoff_10.0.cm.dat,15837627142979310909,3,3,0.000098823,3,0.00007308
cost_matrix_component_nr_809_size_65_cutoff_10.0.cm.dat,1362062047219767633,1,1,0.001980504,1,0.000329184
cost_matrix_component_nr_3111_size_7_cutoff_10.0.cm.dat,14348751454441636095,1,1,0.000040976,1,0.000026734
cost_matrix_component_nr_3895_size_5_cutoff_10.0.cm.dat,3107222519805591884,1,1,0.000016489,1,8.423e-6
cost_matrix_component_nr_927_size_70_cutoff_10.0.cm.dat,18445809923571544052,17,17,0.239793165,95,0.143579172
cost_matrix_component_nr_1268_size_5_cutoff_10.0.cm.dat,3213824930611071092,1,1,0.0000172,1,8.422e-6
cost_matrix_component_nr_1250_size_3_cutoff_10.0.cm.dat,12290759034252758863,1,1,0.000011814,1,4.554e-6
cost_matrix_component_nr_2286_size_3_cutoff_10.0.cm.dat,16785106935271278350,1,1,0.00001286,1,4.877e-6
cost_matrix_component_nr_727_size_9_cutoff_10.0.cm.dat,13792516337643371589,2,2,0.000067762,1,0.000044073
cost_matrix_component_nr_3552_size_5_cutoff_10.0.cm.dat,1144046507065186377,1,1,0.000016427,1,8.563e-6
cost_matrix_component_nr_771_size_7_cutoff_10.0.cm.dat,2011163465261676811,2,2,0.000072791,1,0.000043826
win200.dat,10462758011093489764,1,1,0.000628385,1,0.00061682
lose800.dat,13260983983654102759,1,1,0.008295771,1,0.005858032
cost_matrix_component_nr_1377_size_39_cutoff_10.0.cm.dat,13998865155918136518,7,7,0.014276008,5,0.010349998
