file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_697_size_92_cutoff_10.0.cm.dat,10300428604030040535,26,26,0.166597556,441,0.160866798
cost_matrix_component_nr_1323_size_56_cutoff_10.0.cm.dat,13948531352599020550,29,29,0.769721322,935,0.704813399
cost_matrix_component_nr_197_size_59_cutoff_10.0.cm.dat,862009306846046701,29,29,1.186521754,837,1.076470468
cost_matrix_component_nr_520_size_89_cutoff_10.0.cm.dat,14953013070267972461,26,28,1.646735165,817,1.563033465
cost_matrix_component_nr_577_size_89_cutoff_10.0.cm.dat,16881969996958974538,27,29,5.578526054,1509,5.345498099
cost_matrix_component_nr_1093_size_78_cutoff_10.0.cm.dat,15020938995883764893,36,36,6.245780689,1047,5.769986837
cost_matrix_component_nr_151_size_79_cutoff_10.0.cm.dat,14566372535098864048,37,37,1.258972437,1227,1.162155806
cost_matrix_component_nr_175_size_107_cutoff_10.0.cm.dat,1936090632467256002,40,42,13.661218093,9271,13.391560908
cost_matrix_component_nr_513_size_117_cutoff_10.0.cm.dat,12077857632671278315,38,38,14.327565707,4053,13.746315687
cost_matrix_component_nr_1010_size_108_cutoff_10.0.cm.dat,4967403925363802819,37,39,18.23168957,20633,17.906688409
cost_matrix_component_nr_715_size_61_cutoff_10.0.cm.dat,1072161623126946432,29,30,1.003000566,875,0.903653138
cost_matrix_component_nr_1076_size_75_cutoff_10.0.cm.dat,17294641556771368180,30,30,3.091775087,2127,2.922490475
cost_matrix_component_nr_739_size_98_cutoff_10.0.cm.dat,984023408473979954,57,57,24.872668773,10695,23.33529655
cost_matrix_component_nr_1202_size_102_cutoff_10.0.cm.dat,16059131771751320758,43,43,16.414150405,3249,15.639503848
cost_matrix_component_nr_1678_size_76_cutoff_10.0.cm.dat,10802708007917000892,29,29,5.166828694,1693,5.047305964
cost_matrix_component_nr_381_size_132_cutoff_10.0.cm.dat,6372554958863409887,28,31,6.87871752,975,6.382072783
cost_matrix_component_nr_135_size_130_cutoff_10.0.cm.dat,7411899143930736918,28,29,28.542822551,4647,28.055776079
cost_matrix_component_nr_256_size_119_cutoff_10.0.cm.dat,16352478194471365599,47,49,55.236356481,2479,52.256870649
cost_matrix_component_nr_186_size_78_cutoff_10.0.cm.dat,5653866297559276201,41,41,6.172304822,2901,5.714842647
cost_matrix_component_nr_1889_size_63_cutoff_10.0.cm.dat,1923632916038053832,23,25,0.734874504,749,0.704893407
p7_4000.dat,6327674131513914017,5,6,83.290000695,24841,78.306357937
cost_matrix_component_nr_1609_size_55_cutoff_10.0.cm.dat,10423160223809253636,19,20,0.212198008,301,0.200440583
